word,phonetic,translation,definition,pos,exchange,frequency
separately,'sepәrәtli,"adv. [表]分开, 不相连, 分隔, 分离, 不同, 单独, 独立, 各自, 各别, 脱离肉体, 灵魂\n[计] 分离地",r apart from others,,,5463
separates,ˈseprəts,n. 可搭配穿着的女服\nv. 分开( separate的第三人称单数 ); （使）分离; 区分; 隔开,"n a separately printed article that originally appeared in a larger publication\nn a garment that can be purchased separately and worn in combinations with other garments\nv act as a barrier between; stand between\nv force, take, or pull apart\nv mark as different\nv separate into parts or portions\",,0:separate/1:3s,
separating,'sepәreitiŋ,"[计] 分离的, 分隔的","v act as a barrier between; stand between\nv force, take, or pull apart\nv mark as different\nv separate into parts or portions\nv divide into components or constituents\nv arrange or order by classes or categories\nv make a division or separation\nv discontinue an association or relation; go differ",,0:separate/1:i/i:separating,16785
separation,.sepә'reiʃәn,"n. 分离, 分居, 缺口, 退职\n[化] 分离",n. the state of lacking unity\nn. coming apart\nn. sorting one thing from others\nn. the social act of separating or parting company,,s:separations,3704
sequel,'si:kwәl,"n. 继续, 续集, 后果\n[计] 结构的英语查询语言",n. something that follows something else\nn. a part added to a book or play that continues and extends it,,s:sequels,8892
service,'sɜːvɪs,"n. 服务, 服侍；服役；仪式\na. 服务性的；耐用的；服现役的\nvt. 维修, 检修；保养\nn. (Service)人名；(英)瑟维斯",,,s:ser-vices,
services,,"(ser-vice 的复数) n. 服务, 服侍；服役；仪式\na. 服务性的；耐用的；服现役的\nvt. 维修, 检修；保养\nn. (Service)人名；(英)瑟维斯",plural of ser-vice,,0:ser-vice/1:s,
serenity,si'reniti,"n. 宁静, 沉着, 晴朗",n a disposition free from stress or emotion\nn the absence of mental stress or anxiety,,,12707
series,'siәri:z,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组\n[计] 系列",n. similar things placed in order or happening one after another\nn. a periodical that appears at scheduled times\nn. (sports) several contests played successively by the same teams\nn. (electronics) connection of components in such a manner that current flows first through one and then through the ,,,718
serious,'siәriәs,"a. 严肃的, 认真的, 重要的, 严重的\n[电] 严重的",a. concerned with work or important matters rather than play or trivialities\ns. of great consequence\ns. requiring effort or concentration; complex and not easy to answer or solve,,,755
seriously,'siәriәsli,"adv. 严肃地, 认真地, 严重地",r. in a serious manner,,,1908
sermons,ˈsə:mənz,n. 布道( sermon的复数形式 ); 讲道; 讲道文章; 一大通教训,n. an address of a religious nature (usually delivered during a church service)\nn. a moralistic rebuke,,0:sermon/1:s,
serpent,'sә:pәnt,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人",n. a firework that moves in serpentine manner when ignited\nn. an obsolete bass cornet; resembles a snake,,s:serpents,11649
serpents,ˈsɜ:pənts,n. 蛇( serpent的复数形式 ); 诱人犯错的人; 狡猾的人,n. limbless scaly elongate reptile; some are venomous\nn. a firework that moves in serpentine manner when ignited\nn. an obsolete bass cornet; resembles a snake,,0:serpent/1:s,
servant,'sә:vәnt,"n. 仆人, 有用物, 公务员, 雇员\n[法] 受雇人, 服务者, 公务员",n. a person working in the service of another (especially in the household),,s:servants,3938
servants,'sɜ:vənts,n. 仆人( servant的复数形式 ); 雇员; 奴仆般受制（或献身）于…的人; 服务于…的事物,n. a person working in the service of another (especially in the household)\nn. in a subordinate position,,0:servant/1:s,
serve,sә:v,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待\nvi. 服务, 服役, 侍应, 适合, 有用, 开球\nn. 发球, 轮到发球","n. (sports) a stroke that puts the ball in play\nv. serve a purpose, role, or function\nv. do duty or hold offices; serve in a specific function\nv. contribute or conduce to",,d:served/i:serving/p:served/3:serves/s:serves,401
serviceable,'sә:visәbl,"a. 有用的, 耐用的\n[化] 能操作的",a. ready for service or able to give long service\ns. capable of being put to good use\ns. intended or able to serve a purpose without elaboration;,,,20461
servility,sә:'viliti,"n. 奴态, 卑屈",n abject or cringing submissiveness,,,36192
serving,'sә:viŋ,"n. 服务, 招待, 上菜, 一份食物","n an individual quantity of food or drink taken as part of a meal\nn the act of delivering a writ or summons upon someone\nv serve a purpose, role, or function\nv do duty or hold offices; serve in a specific function\nv contribute or conduce to\nv be used by; as of a utility\nv help to some food; he",,0:serve/1:i/i:serving/s:servings,3438
set,set,"n. 日落, 同伙, 组合, 集合, 装置\nvt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整\nvi. 日落, 凝固, 定型, 搁住, 结果, 适合\na. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的\n[计] 设置; DOS内部命令:改变或显示分配给环境变量的值",n. a group of things of the same kind that belong together and are so used\nn. (mathematics) an abstract collection of numbers or symbols\nn. several exercises intended to be done in series\nn. an unofficial association of people or groups,,d:set/0:set/1:dp/p:set/i:setting/s:sets/3:sets,294
sets,,"n. 集合, 设置（set的复数）",n a group of things of the same kind that belong together and are so used\nn (mathematics) an abstract collection of numbers or symbols\nn several exercises intended to be done in series\nn representation consisting of the scenery and other properties used to identify the location of a dramatic prod,,0:set/1:s3,
settee,se'ti:,n. 长靠背椅,n. a small sofa,,s:settees,18481
setting,'setiŋ,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具\n[计] 设置",n. the context and environment in which something is set\nn. the state of the environment in which a situation exists\nn. the physical position of something,,0:set/1:i/s:settings/i:setting,1742
settle,'setl,"n. 有背长椅\nvt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算\nvi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家","n. a long wooden bench with a back\nv. settle into a position, usually on a surface or ground\nv. settle conclusively; come to terms\nv. take up residence and become established",,d:settled/p:settled/i:settling/3:settles,1316
settled,'setld,"a. 固定的, 决定的, 持续的, 难以消除的\n[经] 付讫的, 固定的, 结过帐的",a. established or decided beyond dispute or doubt\na. established in a desired position or place; not moving about\ns. not changeable,,0:settle/1:dp/d:settled/p:settled,16274
settlement,'setlmәnt,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降\n[医] 居住区; 沉渣",n. a conclusive resolution of a matter and disposition of it\nn. something settled or resolved; the outcome of decision making\nn. an area where a group of families live together,,s:settlements,2167
settlements,'setlmənts,n. 解决( settlement的复数形式 ); 结算; <律>金钱或财产的转让（契约）; 移民,n. a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government\nn. a community of people smaller than a town\nn. a conclusive resolution of a matter and disposition,,0:settlement/1:s,
settling,'setliŋ,"n. 沉淀物\n[法] 固定, 移住, 殖民",n. a gradual sinking to a lower level,,0:settle/1:i/i:settling/s:settlings,28636
seven,'sevn,"num. 七, 七个",n. the cardinal number that is the sum of six and one\ns. being one more than six,,,734
several,'sevәrәl,"a. 几个的, 一些的, 各自的\npron. 几个",s. (used with count nouns) of an indefinite number more than 2 or 3 but not many\ns. distinct and individual,,,310
severe,si'viә,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的\n[法] 严厉的, 苛刻的, 严重的",s. intensely or extremely bad or unpleasant in degree or quality\ns. unsparing and uncompromising in discipline or judgment\ns. very bad in degree or extent,,t:severest/r:severer,2330
severely,si'viәli,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素",r to a severe or serious degree\nr with sternness; in a severe manner\nr causing great damage or hardship,,,4850
severity,si'veriti,"n. 严格, 朴素, 激烈",n. excessive sternness,,s:severities,7307
sew,sәu,"vt. 缝纫, 缝合, 缝\nvi. 缝纫",v. fasten by sewing; do needlework\nv. create (clothes) with cloth,,d:sewn/i:sewing/p:sewed/3:sews,6478
sewed,,sew的过去式和过去分词,s. fastened with stitches,,0:sew/1:pd,
sewn,sәun,sew的过去分词,v fasten by sewing; do needlework\nv create (clothes) with cloth\ns fastened with stitches,,0:sew/1:d,
sex,seks,"n. 性别, 性欲\nvt. 区别...的性别, 引起...的性欲",n. either of the two categories (male or female) into which most organisms are divided\nn. all of the feelings resulting from the urge to gratify sexual impulses\nn. the properties that distinguish organisms on the basis of their reproductive roles\nv. tell the sex (of young chickens),,s:sexes/i:sexing/p:sexed/3:sexes/d:sexed,814
sh,ʃ,interj. 嘘,,,,15861
shade,ʃeid,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹\nvi. 渐变\nvt. 使阴暗, 使渐变, 遮蔽, 微减\n[计] 底纹",n. relative darkness caused by light rays being intercepted by an opaque body\nn. a quality of a given color that differs slightly from another color\nn. protective covering that protects something from direct sunlight\nn. a position of relative inferiority,,s:shades/i:shading/d:shaded/p:shaded/3:shades,2984
shades,,"n. 墨镜；阴魂咒法术, 制造幽影（shade复数）",n spectacles that are darkened or polarized to protect the eyes from the glare of the sun\nn relative darkness caused by light rays being intercepted by an opaque body\nn a quality of a given color that differs slightly from another color\nn protective covering that protects something from direct su,,0:shade/1:s3,
shaggy,'ʃægi,"a. 毛发蓬乱的, 粗浓的, 草木丛生的",s used of hair; thick and poorly groomed\ns having a very rough nap or covered with hanging shags,,,14385
shake,ʃeik,"n. 摇动, 震动\nvt. 摇动, 动摇, 使震动, 挥舞\nvi. 震动, 发抖, 动摇",v. move or cause to move back and forth\nv. move with or as if with a tremor\nv. undermine or cause to waver\nv. get rid of,,p:shook/i:shaking/d:shaken/3:shakes/s:shakes,942
shaken,'ʃeikәn,shake的过去分词,"v move or cause to move back and forth\nv move with or as if with a tremor\nv shake or vibrate rapidly and intensively\nv move back and forth or sideways\nv undermine or cause to waver\nv stir the feelings, emotions, or peace of\nv get rid of\nv bring to a specified condition by or as if by shaking\",,0:shake/1:d/d:shaken,21406
shakespeare,'ʃeik.spiә,n. 莎士比亚,n. English poet and dramatist considered one of the greatest English writers (1564-1616),,,3710
shaking,'ʃeikiŋ,"n. 摇动, 挥动\n[医] 震动法(一种按摩法); 摇动, 振荡",n. the act of causing something to move up and down (or back and forth) with quick movements\nn. a shaky motion,,0:shake/1:i/i:shaking/s:shakings,15387
shall,ʃæl,aux. 将,"v. i. & auxiliary. To owe; to be under obligation for.\nv. i. & auxiliary. To be obliged; must.\nv. i. & auxiliary. As an auxiliary, shall indicates a duty or\n   necessity whose obligation is derived from the person speaking; as, you\n   shall go; he shall go; that is, I order or promise your going",,,2197
shame,ʃeim,"n. 羞耻, 羞愧, 耻辱\nvt. 使羞愧, 侮辱",n. a painful emotion resulting from an awareness of inadequacy or guilt\nn. a state of dishonor\nv. compel through a sense of shame\nv. cause to be ashamed,,d:shamed/3:shames/p:shamed/i:shaming/s:shames,3767
shameful,'ʃeimful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的",s (used of conduct or character) deserving or bringing disgrace or shame\ns giving offense to moral sensibilities and injurious to reputation,,,11754
shameless,'ʃeimlis,a. 不知羞耻的,s. feeling no shame,,,16159
shan,"ʃɑ:n, ʃæn","n. 掸人, 掸族（居住在东南亚一带）；掸邦（前缅甸联邦的成员国之一）",n a branch of the Tai languages,,,36662
shape,ʃeip,"n. 形状, 形态, 外形, 形式, 身材\nvt. 定形, 使成形, 塑造, 计划, 使符合\nvi. 成形, 形成, 成长\n[计] 形状","n. any spatial attributes (especially as defined by outline)\nn. the spatial arrangement of something as distinct from its substance\nn. a concrete representation of an otherwise nebulous concept\nv. make something, usually for a specific function",,s:shapes/d:shaped/i:shaping/p:shaped/3:shapes,1267
shaped,ʃeipt,"a. 成某种形状的, 制成一定形状的, 有某种形状的, 合适的, 计划好的, 有目标的\n[医] 具形的, 形似的",s. shaped to fit by or as if by altering the contours of a pliable mass (as by work or effort)\na. having the shape of,,0:shape/1:dp/d:shaped/p:shaped,11479
shapeless,'ʃeiplis,"a. 无形状的, 不定形的, 破相的, 不象样的, 不匀称的",s. lacking symmetry or attractive form,,,19626
shapes,,n. 图形；二维造型体；身材；形状（shape的复数）,n any spatial attributes (especially as defined by outline)\nn the spatial arrangement of something as distinct from its substance\nn alternative names for the body of a human being\nn a concrete representation of an otherwise nebulous concept\nn the visual appearance of something or someone\nn the ,,0:shape/1:s3,
share,ʃєә,"n. 部分, 参与, 一份, 参股, 份额\nvt. 均分, 分担, 分享, 分配, 共有\nvi. 分享\n[计] 共享; DOS外部命令:在网络或多工系统中提供文件共享\n文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持",n. assets belonging to or due to or contributed by an individual person or group\nn. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate\nv. have in common\nv. use jointly or in common,,s:shares/d:shared/i:sharing/p:shared/3:shares,711
shared,ʃεәd,a. 共享的,a. have in common; held or experienced in common,,0:share/1:dp/d:shared/p:shared,4011
sharers,,"(sharer 的复数) n. 分配者, 共同收受者, 参与者\n[计] 共享者",plural of sharer\nn someone who has or gives or receives a part or a share,,0:sharer/1:s,
sharing,'ʃeәriŋ,"[计] 共享, 公用",n. using or enjoying something jointly with others\nn. having in common\nn. a distribution in shares,,0:share/1:i/i:sharing/s:sharings,10728
sharp,ʃɑ:p,"n. 半升音调, 利刃, 骗子\na. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的\nadv. 锐利地, 急速地",n. a musical notation indicating one half step higher than the note named\nn. a long thin sewing needle with a sharp point\ns. harsh\na. keenly and painfully felt; as if caused by a sharp edge or point,,s:sharps,2049
sharpened,,a. 尖锐的,s. having the point made sharp\ns. made sharp or sharper,,0:sharpen/1:dp/d:sharpened/p:sharpened,21309
sharply,'ʃɑ:pli,"adv. 锐利地, 严厉地, 厉害地\n[经] 剧烈地",r. in a well delineated manner\nr. changing suddenly in direction and degree,,,3908
shed,ʃi:d,abbr. she had 她已经; she would 她可以,,,,
shears,ʃiәz,n. 大剪刀\n[化] 剪床; 剪切机,n. large scissors with strong blades,,0:shear/1:s3,
shedding,'ʃediŋ,"n. 脱落, 蜕落, 蜕落物, 流出, 散发, 梭口, 梭道\n[医] 脱落",n. the process whereby something is shed,,0:shed/1:i/i:shedding/s:sheddings,25194
sheds,ʃedz,"n. 棚, 库( shed的名词复数 )\nv. 流出( shed的第三人称单数 ); 流下; 蜕皮; 树叶脱落","n an outbuilding with a single story; used for shelter or storage\nv get rid of\nv pour out in drops or small quantities or as if in drops or small quantities\nv cause or allow (a solid substance) to flow or run out or over\nv cast off hair, skin, horn, or feathers",,0:shed/1:s3,
sheep,ʃi:p,"n. 羊, 胆小者",n. woolly usually horned ruminant mammal related to the goat\nn. a timid defenseless simpleton who is readily preyed upon\nn. a docile and vulnerable person who would rather follow than make an independent decision,,s:sheeps,4210
sheet,ʃi:t,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片\nvt. 盖上被单, 遍布\nvi. 大片落下\na. 片状的, 成薄片的\n[计] 工作表",n. any broad thin expanse or surface\nn. paper used for writing or printing\nn. bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs\nn. a flat artifact that is thin relative to its length and width,,s:sheets/d:sheeted/p:sheeted/i:sheeting/3:sheets,1753
sheets,,"n. 被单；片材, 板片（sheet复数）",n any broad thin expanse or surface\nn paper used for writing or printing\nn bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs\nn (mathematics) an unbounded two-dimensional shape\nn newspaper with half-size pages\nn a flat artifact that is thin relative to its,,1:s3/0:sheet,
shelf,ʃelf,"n. 架子, 搁板\n[化] 架子",n. a support that consists of a horizontal surface for holding objects,,s:shelves,2947
sheltered,,"a. 受庇护的, 受保护的",s. protected from danger or bad weather,,0:shelter/1:dp/d:sheltered/p:sheltered,13256
shelves,ʃelvz,pl. 架子,n a support that consists of a horizontal surface for holding objects\nn a projecting ridge on a mountain or submerged under water\nv hold back to a later time\nv place on a shelf,,0:shelf/1:s,
shepherd,'ʃepәd,"n. 牧羊人, 牧羊犬, 牧师, 保护者\nvt. 看守, 领导, 指导, 牧羊","n. a clergyman who watches over a group of people\nv. watch over like a shepherd, as a teacher of her pupils\nv. tend as a shepherd, as of sheep or goats",,s:shepherds/p:shepherded/d:shepherded/i:shepherding/3:shepherds,8911
shepherdesses,ˈʃepədisiz,n. 牧羊女( shepherdess的复数形式 ),"n. a woman shepherd\nv. watch over like a shepherd, as a teacher of her pupils\nv. tend as a shepherd, as of sheep or goats",,0:shepherdess/1:s,
shepherds,,n. 牧羊人；牧人（shepherd的复数）；牧师\nv. 带领（shepherd的三单形式）；放牧；照看,"n a clergyman who watches over a group of people\nn a herder of sheep (on an open range); someone who keeps the sheep together in a flock\nv watch over like a shepherd, as a teacher of her pupils\nv tend as a shepherd, as of sheep or goats",,0:shepherd/1:s3,39726
shifting,'ʃiftiŋ,"[计] 移位, 移位操作",s. continuously varying\ns. changing position or direction\ns. (of soil) unstable,,0:shift/1:i/i:shifting/s:shiftings,7378
shilling,'ʃiliŋ,n. 先令\n[经] 先令,n. an English coin worth one twentieth of a pound,,s:shillings,23182
shillings,'ʃɪlɪŋz,"n. 先令（英国1971年以前的货币单位, 为一镑的二十分之一）( shilling的复数形式 )",n. the basic unit of money in Uganda; equal to 100 cents\nn. the basic unit of money in Tanzania; equal to 100 cents\nn. the basic unit of money in Somalia; equal to 100 cents,,0:shilling/1:s,
shingle,'ʃiŋgl,"n. 墙面板, 小招牌","n. building material used as siding or roofing\nn. coarse beach gravel of small waterworn stones and pebbles (or a stretch of shore covered with such gravel)\nn. a small signboard outside the office of a lawyer or doctor, e.g.\nv. cover with shingles",,p:shingled/d:shingled/i:shingling/3:shingles,11117
shining,'ʃainiŋ,"a. 光亮的, 华丽的",n. the work of making something smooth and shiny by rubbing or waxing it\ns. marked by exceptional merit,,0:shine/1:i/i:shining,7281
shiny,'ʃaini,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的",s reflecting light\na having a shiny surface or coating\ns made smooth and bright by or as if by rubbing; reflecting a sheen or glow,,r:shinier/t:shiniest,5128
shire,'ʃaiә,n. 郡,n. a former administrative district of England; equivalent to a county\nn. British breed of large heavy draft horse,,s:shires,27829
shiver,'ʃivә,"vi. 颤抖, 哆嗦, 被打碎\nvt. 使迎风飘动, 粉碎\nn. 战栗, 碎块","v. shake, as from cold",,p:shivered/i:shivering/s:shivers/3:shivers/d:shivered,6211
shock,ʃɒk,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗\nvt. 使震动, 使休克, 使受电击, 震惊得\nvi. 震动, 吓人\na. 蓬乱浓密的",n. the violent interaction of individuals or groups entering into combat\nn. (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor\nn. an instance of agitati,,p:shocked/s:shocks/d:shocked/3:shocks/i:shocking,2298
shocked,ʃɔkt,a. 震撼的；震惊的,"v surprise greatly; knock someone's socks off\nv strike with disgust or revulsion\nv strike with horror or terror\nv collide violently\nv collect or gather into shocks\nv subject to electrical shocks\nv inflict a trauma upon\ns struck with fear, dread, or consternation",,0:shock/1:pd/p:shocked/d:shocked,5677
shocking,'ʃɒkiŋ,"a. 令人震惊的, 极坏的, 不正当的",v surprise greatly; knock someone's socks off\nv strike with disgust or revulsion\nv strike with horror or terror\nv collide violently\nv collect or gather into shocks\nv subject to electrical shocks\nv inflict a trauma upon\ns glaringly vivid and graphic; marked by sensationalism\ns giving offense ,,0:shock/1:i/i:shocking,6021
shod,ʃɔd,shoe的过去式和过去分词,a. wearing footgear,,0:shoe/1:dp/i:shodding/d:shod/p:shod,48733
shoe,ʃu:,"n. 鞋, 靴, 外胎\nvt. 给...穿鞋, 为马钉蹄铁",n. footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material\nn. (card games) a case from which playing cards are dealt one at a time\nv. furnish with shoes,,s:shoes/d:shod/i:shoeing/p:shod/3:shoes,1423
shoes,,n. 鞋子（shoe的复数）,n a particular situation\nn footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material\nn (card games) a case from which playing cards are dealt one at a time\nn U-shaped plate nailed to underside of horse's hoof\nn a restrai,,1:s3/0:shoe,
shone,ʃɔn,shine的过去式和过去分词,"v be bright by reflecting or casting light\nv emit light; be bright, as of the sun or a light\nv be shiny, as if wet\nv be distinguished or eminent\nv be clear and obvious\nv have a complexion with a strong bright color, such as red or pink\nv throw or flash the light of (a lamp)\nv touch or seem as",,0:shine/1:pd,
shooting,'ʃu:tiŋ,"n. 发射, 猎场, 射击",n. the act of firing a projectile\nn. killing someone by gunfire,,0:shoot/1:i/i:shooting/s:shootings,2822
shop,ʃɒp,"n. 商店, 工厂, 车间\nvi. 购物, 到处寻找\nvt. 选购",n. a mercantile establishment for the retail sale of goods or services\nv. do one's shopping\nv. shop around; not necessarily buying,,s:shops/i:shopping/p:shopped/3:shops/d:shopped,1338
shopboy,,na. 〈英〉店伙计\n[网络] 小店员,,,,
shopping,'ʃɒpiŋ,"n. 买东西, 购物\n[经] 购物, 买东西",n. searching for or buying goods or services\nn. the commodities purchased from stores,,0:shop/1:i/i:shopping,2713
shops,,n. 商店；商店用包装纸（shop的复数）,n a mercantile establishment for the retail sale of goods or services\nn small workplace where handcrafts or manufacturing are done\nn a course of instruction in a trade (as carpentry or electricity)\nv do one's shopping\nv do one's shopping at; do business with; be a customer or client of\nv shop a,,1:s3/0:shop,
shore,ʃɒ:,"n. 海岸, 海滨, 斜撑柱\nvt. 把...送上岸, 支撑, 支持",n. the land along the edge of a body of water\nn. a beam or timber that is propped against a structure to provide support\nv. serve as a shore to,,s:shores/i:shoring/d:shored/p:shored/3:shores,3244
short,ʃɒ:t,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的\nadv. 简短地, 突然\nn. 扼要, 短片, 缺乏\nvt. 故意少给, 使短路",n. the location on a baseball field where the shortstop is stationed\na. primarily temporal sense; indicating or being or seeming to be limited in duration\na. (primarily spatial sense) having little length or lacking in length\na. low in stature; not tall,,r:shorter/t:shortest/i:shorting/p:shorted/3:shorts/d:shorted,627
shorten,'ʃɒ:tn,"vt. 弄短, 缩短, 减少\nvi. 缩小, 变短",v. make shorter than originally intended; reduce or retrench in length or duration\nv. make short or shorter\nv. become short or shorter,,d:shortened/i:shortening/3:shortens/p:shortened,7578
shorter,,a. 较短的；更短的；更矮的（short的比较级）,a primarily temporal sense; indicating or being or seeming to be limited in duration\na (primarily spatial sense) having little length or lacking in length\na low in stature; not tall\ns not sufficient to meet a need\na (of memory) deficient in retentiveness or range\na not holding securities or com,,0:short/1:r,
shortly,'ʃɒ:tli,"adv. 不久, 简短, 唐突地",r. for a short time\nr. at a short distance,,,2853
shortness,'ʃɒ:tnis,"n. 短小, 简略, 不足\n[化] 脆性; 蓝脆性; 冷脆性",n. the property of being of short spatial extent\nn. the condition of being short of something\nn. the property of being truncated or short,,,19017
shot,ʃɒt,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射\nvt. 装弹, 使成颗粒状\na. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的\nshoot的过去式和过去分词",n. a solid missile discharged from a firearm\nn. a chance to do something\nn. a person who shoots (usually with respect to their ability to shoot)\nn. an aggressive remark directed at a person like a missile and intended to have a telling effect,,0:shoot/1:dp/s:shots,1053
should,ʃud,"aux. 应该, 将要","imp. of Shall\nimp. Used as an auxiliary verb, to express a conditional or\n   contingent act or state, or as a supposition of an actual fact; also,\n   to express moral obligation (see Shall); e. g.: they should have come\n   last week; if I should go; I should think you could go.",,,121
shoulder,'ʃәuldә,"n. 肩, 肩膀, 衣肩\nvt. 肩负, 负担, 担任\nvi. 用肩推挤",n. the part of the body between the neck and the upper arm\nn. a cut of meat including the upper joint of the foreleg\nn. a ball-and-socket joint between the head of the humerus and a cavity of the scapula\nn. the part of a garment that covers or fits over the shoulder,,s:shoulders/p:shouldered/i:shouldering/d:shouldered/3:shoulders,986
shouldered,'ʃәuldәd,a. 带凸肩的；肩膀…的（用以构成复合词）,a. having shoulders or shoulders as specified; usually used as a combining form,,0:shoulder/1:pd/p:shouldered,37848
shouldering,,"n. 碰撞驱舰, 撞舰驱赶；肩托","v lift onto one's shoulders\nv push with the shoulders\nv carry a burden, either real or metaphoric",,0:shoulder/1:i,
shoulders,,n. 肩部；肩膀（shoulder的复数）,n the part of the body between the neck and the upper arm\nn a cut of meat including the upper joint of the foreleg\nn a ball-and-socket joint between the head of the humerus and a cavity of the scapula\nn the part of a garment that covers or fits over the shoulder\nn a narrow edge of land (usually ,,1:s3/0:shoulder,
shout,ʃaut,"n. 呼喊, 喊声\nvi. 呼喊, 喊叫, 嚷\nvt. 高喊",v. utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking)\nv. utter a sudden loud cry,,p:shouted/i:shouting/s:shouts/3:shouts/d:shouted,2154
shouted,'ʃaʊtɪd,"v. 呼, 喊, 叫( shout的过去式和过去分词 ); 大声讲",s. in a vehement outcry,,0:shout/1:pd/d:shouted/p:shouted,29775
shouting,'ʃajtiŋ,"n. 呼喊, 喊话","n encouragement in the form of cheers from spectators\nn uttering a loud inarticulate cry as of pain or excitement\nv utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking)\nv utter a sudden loud cry\nv utter aloud; often with surprise, horror, or joy\nv use",,0:shout/1:i/i:shouting,19210
show,ʃәu,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相\nvt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领\nvi. 露面, 显现, 演出\n[计] 显示",n. the act of publicly exhibiting or entertaining\nn. a social event involving a public performance or entertainment\nv. give an exhibition of to an interested audience\nv. make visible or noticeable,,d:shown/p:showed/3:shows/i:showing/s:shows,177
showed,,show的过去式和过去分词,"v give an exhibition of to an interested audience\nv establish the validity of something, as by an example, explanation or experiment\nv provide evidence for\nv make visible or noticeable\nv show in, or as in, a picture\nv give expression to\nv indicate a place, direction, person, or thing; either s",,0:show/1:pd,
shower,'ʃauә,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者\nvi. 淋浴, 下阵雨\nvt. 淋湿, 倾注",n. a plumbing fixture that sprays water over you\nn. washing yourself by standing upright under water sprayed from a nozzle\nn. a brief period of precipitation\nn. a sudden downpour (as of tears or sparks etc) likened to a rain shower,,s:showers/d:showered/p:showered/i:showering/3:showers,3204
showing,'ʃәuiŋ,"n. 显示, 陈列, 展览, 成绩, 表现, 表演, 夸耀, 陈述, 叙述, 外表, 迹象","n the display of a motion picture\nn something shown to the public\nv give an exhibition of to an interested audience\nv establish the validity of something, as by an example, explanation or experiment\nv provide evidence for\nv make visible or noticeable\nv show in, or as in, a picture\nv give expr",,0:show/1:i/i:showing/s:showings,9949
shown,ʃәun,show的过去分词,"v give an exhibition of to an interested audience\nv establish the validity of something, as by an example, explanation or experiment\nv provide evidence for\nv make visible or noticeable\nv show in, or as in, a picture\nv give expression to\nv indicate a place, direction, person, or thing; either s",,0:show/1:d/3:showns,
shows,,"n. 秀场, 表演（show的复数）",n the act of publicly exhibiting or entertaining\nn something intended to communicate a particular impression\nn a social event involving a public performance or entertainment\nn pretending that something is the case in order to make a good impression\nv give an exhibition of to an interested audien,,0:show/1:3s,
shrewish,'ʃru:iʃ,"a. 泼妇一样的, 脾气暴躁的",s. continually complaining or faultfinding,,,42660
shriek,ʃri:k,"n. 尖锐的响声\nvi. 尖叫, 发尖声\nvt. 尖声发出",v. utter a shrill cry,,p:shrieked/i:shrieking/s:shrieks/3:shrieks/d:shrieked,9309
shrieked,ʃri:kt,v. 尖叫( shriek的过去式和过去分词 ),imp. & p. p. of Shriek,,0:shriek/1:pd,
shrieks,ʃri:ks,n. 尖叫声( shriek的名词复数 )\nv. 尖叫( shriek的第三人称单数 ),n sharp piercing cry\nn a high-pitched noise resembling a human cry\nv utter a shrill cry,,0:shriek/1:s3,
